fish_id,group,window,rate_Hz,auc_per_s,duty_cycle,median_IEI_s,cv_IEI,burstiness,fano,prop_responsive_ROIs,n_ROIs
FISH_07,Mutant + Mn,during,0.0,0.0,0.0,0.9722222222222222,0.6698906348083082,0.0,1.0000000000000002,0.46566887825952785,6481
FISH_07,Mutant + Mn,post,0.05,0.04524625146959877,0.013888888888888888,1.9444444444444444,0.8720010595257113,0.2,0.9411764705882354,0.5190557012806666,6481
FISH_07,Mutant + Mn,pre,0.0,0.0,0.0,0.8333333333333333,0.5728219618694799,0.0,1.0000000000000002,0.2644653602839068,6481
